受试者,任务,算法,BPM,参考BPM,绝对误差,相对误差(%),耗时(ms)
WWW6,呼吸,均值法,14.225,16.667,2.442,14.65,1
WWW6,呼吸,ACMD,12.727,16.667,3.939,23.64,1
WWW6,呼吸,VMD,14.225,16.667,2.442,14.65,5
WWW6,呼吸,EMD,14.225,16.667,2.442,14.65,5
WWW6,呼吸,AFD,8.235,16.667,8.431,50.59,4
WWW6,呼吸,Multi-ROI ICA,14.225,16.667,2.442,14.65,1
