model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
244583	244583	244583	
6.96564	-0.0375366	0.000915527	
6.96564	-0.0289917	0.000457764	
6.96564	-0.0213623	0	
6.96594	-0.0119019	0.000610352	
6.96625	-0.00427246	0.00106812	
6.96655	0.00305176	0.000762939	
6.96564	0.0100708	0.000610352	
6.96594	0.0177002	0.000610352	
6.96625	0.0274658	0.000305176	
6.96655	0.0344849	0.000762939	
6.96564	0.0424194	0.000152588	
6.96564	0.0515747	-0.000305176	
6.96625	0.0595093	-0.000305176	
6.96625	0.0668335	0.000457764	
6.96564	0.0759888	0	
6.96625	0.083313	0.000305176	
6.96625	0.090332	0.000457764	
6.96564	0.0991821	0.000457764	
6.96533	0.107422	0.000152588	
6.96503	0.115051	0.000305176	
6.96564	0.123901	0.000152588	
6.96533	0.131836	0	
6.96564	0.139465	0.000152588	
6.96625	0.148621	0.000305176	
6.96655	0.156555	-0.000305176	
6.96625	0.163574	0	
6.96564	0.173645	0.000152588	
6.96594	0.180054	0.000152588	
6.96564	0.188599	0.000305176	
6.96564	0.195618	0.000457764	
6.96655	0.203552	0.000915527	
6.96625	0.212402	0.000915527	
6.96533	0.220337	0.000915527	
6.96594	0.229492	0.000915527	
6.96564	0.237122	0.000915527	
6.96655	0.245056	0.000305176	
6.96625	0.252075	0.000762939	
6.96564	0.261841	0.000152588	
6.96625	0.269775	0.000457764	
6.96533	0.277405	0	
6.96259	0.286255	0.000762939	
6.96167	0.293884	0.000305176	
6.96075	0.301208	0.000305176	
6.96045	0.310364	0.000610352	
6.96167	0.318298	0.0012207	
6.96136	0.326233	0.000762939	
6.96045	0.335388	0.000915527	
6.96106	0.342712	0.000610352	
6.96136	0.349731	0.000305176	
6.96075	0.357361	0.000915527	
6.96106	0.365295	0.000152588	
6.96106	0.374146	-0.000305176	
6.96136	0.38208	-0.000152588	
6.96136	0.389709	0.000152588	
6.96106	0.398865	0	
6.96136	0.405884	0.000305176	
6.96075	0.413818	0.000457764	
6.96167	0.421448	0.000305176	
6.96106	0.429688	0.000457764	
6.96136	0.438232	0.000457764	
6.96106	0.446167	0.000305176	
6.96136	0.452881	0.000457764	
6.96106	0.46051	0	
6.96106	0.467834	0.000457764	
6.96106	0.474854	-0.000457764	
6.96106	0.482483	0	
6.96167	0.491943	0.000305176	
6.96106	0.499268	0	
6.96136	0.506897	0.000152588	
6.96075	0.514526	0.000152588	
6.96075	0.522461	0.000762939	
6.96136	0.529175	0.0012207	
6.96075	0.536804	0.000762939	
6.96045	0.543823	0.000915527	
6.96075	0.551147	0.000457764	
6.96075	0.558472	0.000305176	
6.96106	0.566101	0.000610352	
6.96106	0.572815	0.000152588	
6.96136	0.580444	0.000305176	
6.96045	0.588074	0.000305176	
6.96075	0.596313	0.000152588	
6.96106	0.602112	0.000305176	
6.96106	0.610657	0	
6.96075	0.617676	0.000762939	
6.96106	0.625	0.0012207	
6.96075	0.631714	0.000762939	
6.96136	0.639954	0.000457764	
6.96075	0.646057	0.000762939	
6.96106	0.652161	0.000457764	
6.96075	0.659485	0.000762939	
6.96106	0.666809	0	
6.96045	0.674133	-0.000152588	
6.96136	0.680542	-0.000305176	
6.96045	0.686646	0.000152588	
6.96106	0.693665	0	
6.96075	0.700684	0	
6.9574	0.708008	0.000305176	
6.95618	0.715332	0.000610352	
6.95618	0.72113	0.000762939	
6.95618	0.728149	0.000457764	
6.95618	0.735168	0.000152588	
6.95648	0.739441	0.000457764	
6.95648	0.747986	0	
6.95587	0.7547	0.000457764	
6.95618	0.760498	-0.000457764	
6.95618	0.767517	0.000762939	
6.95618	0.774536	0.000305176	
6.95587	0.779724	0	
6.95557	0.784302	0.000610352	
6.95587	0.791931	0.000152588	
6.95648	0.79895	0.000610352	
6.95557	0.803833	0.00106812	
6.95648	0.809326	0.000915527	
6.95648	0.81604	0.000915527	
6.95557	0.823364	0.000762939	
6.95526	0.828247	0.000457764	
6.95557	0.834351	0.000457764	
6.95587	0.840759	0.000305176	
6.95618	0.847778	0	
6.95648	0.853271	0.000457764	
6.95557	0.858459	0.000457764	
6.95618	0.863342	0.000305176	
6.95557	0.86792	0.000305176	
6.95618	0.874939	0.000762939	
6.95587	0.882568	0.00106812	
6.95618	0.888672	0.000610352	
6.95587	0.892334	0.000762939	
6.95618	0.897217	0.000762939	
6.95618	0.903015	0.000305176	
6.95587	0.907898	0.000610352	
6.95557	0.91217	0	
6.95587	0.917664	-0.000762939	
6.95557	0.921936	-0.000305176	
6.95587	0.926819	0.000305176	
6.95618	0.931091	0	
6.95679	0.936584	0.000305176	
6.95618	0.944214	0.000152588	
6.95618	0.950623	0.000610352	
6.95526	0.956421	0.000305176	
6.95587	0.960999	0.000305176	
6.95648	0.963745	0.000152588	
6.95587	0.967102	0.000457764	
6.95587	0.971375	0.000152588	
6.95557	0.975342	0.000305176	
6.95618	0.980835	-0.000610352	
6.95618	0.985413	0.000152588	
6.95587	0.990601	0.000305176	
6.95679	0.996094	0	
6.95557	1.00006	0.000610352	
6.95648	1.00586	0.000152588	
6.95618	1.01074	0.000457764	
6.95587	1.01532	0.00137329	
6.95313	1.01746	0.000762939	
6.9516	1.02142	0.000305176	
6.9516	1.02539	0.000457764	
6.95129	1.02905	0.000152588	
6.9516	1.03516	0.000610352	
6.9519	1.03882	0	
6.95068	1.04218	0.000610352	
6.95129	1.04492	0.000610352	
6.95129	1.0498	0.000305176	
6.95129	1.05408	0.000152588	
6.95221	1.05713	0.000152588	
6.9516	1.05988	0.000762939	
6.95129	1.06415	0.000915527	
6.95221	1.06964	0.000457764	
6.95038	1.07208	0.000610352	
6.9516	1.07391	0.000305176	
6.95129	1.0791	0.000305176	
6.95129	1.08124	0.000457764	
6.95129	1.08429	0	
6.9516	1.08795	-0.000610352	
6.95129	1.091	-0.000305176	
6.95099	1.09375	0.000457764	
6.95099	1.09589	-0.000305176	
