model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
248875	248875	248875	
6.88782	0.592651	0.000610352	
6.8869	0.591125	0.000457764	
6.88812	0.588074	0.000457764	
6.88751	0.586243	0.000305176	
6.88751	0.582581	0	
6.88721	0.578308	0.000305176	
6.8869	0.576477	0.000457764	
6.88751	0.57312	0.000305176	
6.88782	0.571289	0.000762939	
6.88751	0.568542	0.000610352	
6.88721	0.567017	0.00106812	
6.8869	0.563354	0.000610352	
6.88782	0.561829	0.000152588	
6.88721	0.558472	0.00106812	
6.88751	0.554199	0.000457764	
6.88751	0.552063	0.000457764	
6.88721	0.549011	0.000152588	
6.88751	0.546875	-0.000457764	
6.88721	0.544128	0.000305176	
6.88782	0.541382	0.000457764	
6.88721	0.538635	0	
6.88782	0.533752	0.000305176	
6.88721	0.532532	0	
6.88751	0.529175	0.0012207	
6.8869	0.527649	0.000610352	
6.8869	0.523987	0	
6.88751	0.52002	0	
6.88721	0.517883	0	
6.88782	0.514832	0.000762939	
6.88721	0.512695	0.000152588	
6.88751	0.508423	-0.000152588	
6.88751	0.50415	0.000152588	
6.88782	0.50293	-0.000152588	
6.88721	0.499878	0.000457764	
6.88751	0.498047	0.000152588	
6.8869	0.493774	0	
6.8869	0.490112	0.000762939	
6.8869	0.488586	0.0012207	
6.88751	0.485229	0.0012207	
6.8869	0.483093	0.000152588	
6.88843	0.479126	0.000915527	
6.8869	0.474854	0.000610352	
6.88721	0.473022	0.000305176	
6.8869	0.469666	0.000457764	
6.88812	0.468445	0.000152588	
6.88751	0.464783	0.000457764	
6.88751	0.460815	0.000610352	
6.88782	0.458069	0	
6.8869	0.455322	0.000610352	
6.88721	0.450439	0.000915527	
6.88751	0.448914	0.00106812	
6.8869	0.445862	0.000610352	
6.88721	0.444031	0.000152588	
6.88751	0.440369	0.00137329	
6.88751	0.436096	0.000457764	
6.88751	0.433655	0.000457764	
6.88751	0.431213	-0.000152588	
6.8869	0.429688	-0.000610352	
6.88782	0.426025	0.000152588	
6.89056	0.421448	0.000305176	
6.8927	0.419006	0	
6.89209	0.416565	0.000305176	
6.89209	0.411377	-0.000305176	
6.8924	0.409851	0.00106812	
6.8924	0.406189	0.000610352	
6.8924	0.404663	0.000152588	
6.89301	0.401306	0.000457764	
6.89209	0.396729	0	
6.89331	0.395203	0.000610352	
6.89209	0.391846	0.000152588	
6.89209	0.387268	-0.000610352	
6.89178	0.384827	0.000152588	
6.8924	0.382385	-0.000152588	
6.8924	0.380249	0.000457764	
6.89209	0.376892	0.000457764	
6.8924	0.372314	0	
6.8924	0.370483	0.000915527	
6.89178	0.367432	0.000610352	
6.8924	0.363159	0.0012207	
6.89209	0.361328	0.000305176	
6.8924	0.357666	0.000762939	
6.8924	0.35553	0.000762939	
6.89178	0.352478	0.000305176	
6.89209	0.348206	0.000305176	
6.8927	0.345459	0	
6.8924	0.342102	0.000457764	
6.89209	0.338135	0	
6.89178	0.335999	0.000152588	
6.89209	0.332336	0.000762939	
6.8924	0.332031	0.000762939	
6.8924	0.328064	0.00106812	
6.8927	0.322571	0.000305176	
6.8924	0.32135	0	
6.8924	0.317383	0.00106812	
6.8927	0.313721	0.000457764	
6.8924	0.311584	0.000762939	
6.89209	0.308533	0	
6.89209	0.306396	-0.000915527	
6.8924	0.303345	0	
6.89209	0.299072	0.000457764	
6.89331	0.296631	0.000152588	
6.8924	0.293274	0.000152588	
6.8924	0.291748	-0.000152588	
6.89301	0.288391	0.0012207	
6.89301	0.285034	0.000457764	
6.8927	0.281982	0.000457764	
6.89178	0.279236	0.000152588	
6.8927	0.2771	0.000152588	
6.8927	0.274048	0.000457764	
6.89209	0.269775	0.000152588	
6.89178	0.267334	-0.000457764	
6.8927	0.264587	0.000305176	
6.89209	0.263062	-0.000152588	
6.8924	0.259399	0.000305176	
6.89178	0.254822	0.000457764	
6.8924	0.252686	0.000152588	
6.89209	0.250244	0.000610352	
6.89178	0.247803	0.000915527	
6.89209	0.244446	0.000915527	
6.8924	0.239868	0.000305176	
6.8927	0.238037	0.000915527	
6.8924	0.235291	0.000457764	
6.89209	0.233459	0.000305176	
6.89209	0.230103	0.000915527	
6.8927	0.228882	0.000457764	
6.8924	0.22522	0.000457764	
6.8924	0.220947	0.000457764	
6.8924	0.218506	-0.000152588	
6.89209	0.215454	0.000762939	
6.8924	0.213318	0.000762939	
6.8924	0.210266	0.00137329	
6.8927	0.205078	0.000610352	
6.8927	0.204163	0.000152588	
6.8927	0.200806	0.0012207	
6.8924	0.198364	0.000305176	
6.8927	0.195923	0.000152588	
6.89148	0.193787	0	
6.89209	0.19104	-0.000762939	
6.89148	0.188599	0	
6.8927	0.184631	0.000610352	
6.8927	0.180969	-0.000152588	
6.89301	0.180054	0.000305176	
6.8924	0.176086	-0.000152588	
6.8927	0.174561	0.000915527	
6.89301	0.170898	0.000762939	
6.8924	0.169373	0.000610352	
6.8924	0.16571	0.000305176	
6.89209	0.16449	0	
6.8927	0.162048	0.000457764	
6.8927	0.159302	0.000305176	
6.89209	0.156555	0	
6.89209	0.155029	0	
6.89209	0.151672	-0.000610352	
6.89178	0.1474	0.000610352	
6.89209	0.144653	-0.000152588	
6.89178	0.142212	0.000305176	
6.89178	0.139771	0.000610352	
6.8924	0.136719	0.000610352	
6.8924	0.135193	0.0012207	
6.8927	0.132141	0.000305176	
6.8927	0.13031	0.00106812	
6.89209	0.126038	0.000305176	
6.8924	0.125122	0.000152588	
6.89301	0.122986	0.000457764	
6.8924	0.120239	0.000152588	
6.8924	0.117493	0.000152588	
6.8924	0.115662	0.000152588	
6.89209	0.112305	-0.000152588	
6.89178	0.110779	0.000762939	
6.89209	0.108032	0.000915527	
6.89148	0.105896	0.0012207	
6.89209	0.102844	0.000610352	
6.89209	0.100708	0.000152588	
6.89178	0.0982666	0.00106812	
6.89301	0.0958252	0.000305176	
6.89209	0.0924683	0.000457764	
6.89209	0.0912476	0.000152588	
6.89148	0.0906372	-0.000762939	
6.8924	0.0869751	0.000305176	
6.89178	0.0860596	0.000457764	
6.8924	0.0814819	-0.000152588	
6.89209	0.0811768	0.000305176	
6.8924	0.0790405	-0.000152588	
6.89178	0.0775146	0.000915527	
6.89209	0.0738525	0.000762939	
6.8927	0.0720215	0.000457764	
6.89209	0.0689697	0	
6.8924	0.0668335	0.000305176	
6.89209	0.0671387	0.000762939	
6.89178	0.0634766	0.000457764	
6.89209	0.062561	-0.000610352	
6.89209	0.0592041	0.000152588	
6.89178	0.0576782	-0.000152588	
6.89301	0.0546265	0.000457764	
6.8924	0.0527954	0.000610352	
6.8924	0.0521851	0.000152588	
6.89301	0.0494385	0.000610352	
6.8927	0.0476074	0.000915527	
6.89178	0.0439453	0.00137329	
6.89178	0.0424194	0.000305176	
6.89209	0.0393677	0.000457764	
6.8927	0.0384521	0.000305176	
6.89178	0.0369263	0	
6.89209	0.0350952	0.000762939	
6.8924	0.0320435	-0.000152588	
6.8924	0.0292969	0.000305176	
6.89178	0.0280762	0.000762939	
6.89209	0.027771	0.000152588	
6.89209	0.0247192	0.000915527	
6.89178	0.0228882	0.000457764	
6.8927	0.0204468	0.0012207	
6.89178	0.0177002	0.000305176	
6.89209	0.0177002	0	
6.89301	0.0149536	0.00137329	
6.89178	0.0134277	0.000305176	
6.8924	0.0100708	0.000915527	
6.8927	0.00762939	0	
6.8927	0.00823975	-0.000610352	
6.8924	0.00518799	0.000457764	
6.8927	0.00335693	0.000305176	
6.8924	0.00305176	0.000305176	
6.89209	0.000305176	0	
6.8924	-0.000610352	0	
6.89209	-0.000915527	0.000762939	
6.89301	-0.00396729	0.000762939	
6.8927	-0.00640869	0.000457764	
6.8924	-0.00915527	0.000457764	
6.8927	-0.010376	0.000152588	
6.8924	-0.0109863	0.000305176	
6.89178	-0.0143433	0.000152588	
6.89209	-0.0158691	-0.000305176	
6.89148	-0.0161743	0	
6.8924	-0.0195313	-0.000152588	
6.8927	-0.020752	0.000457764	
6.89209	-0.0216675	0	
6.89209	-0.0238037	0	
