model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
249718	249718	249718	
6.13251	0.164795	0.000457764	
6.13281	0.164795	0.000305176	
6.13342	0.161743	0.000457764	
6.13312	0.159912	0.000152588	
6.13281	0.159607	0.000152588	
6.13281	0.159912	0.000762939	
6.1319	0.156555	0.000762939	
6.13342	0.154724	0.000762939	
6.13281	0.155029	0.0012207	
6.13312	0.152283	0.000762939	
6.13037	0.150452	0.000762939	
6.12823	0.149841	0.00106812	
6.12793	0.14801	0.000152588	
6.12823	0.145264	-0.000610352	
6.12823	0.145569	-0.000152588	
6.12793	0.142517	0.000305176	
6.12793	0.140381	-0.000152588	
6.12793	0.140076	0.000305176	
6.12732	0.140686	0.000610352	
6.12732	0.137634	0.000915527	
6.12762	0.135498	0.000915527	
6.12762	0.134888	0.000457764	
6.12732	0.132446	0.000610352	
6.12823	0.13031	0.000305176	
6.12701	0.13031	0.000610352	
6.12732	0.130005	0.000152588	
6.12701	0.128174	-0.000457764	
6.12732	0.125427	0.000457764	
6.12793	0.124817	0.000762939	
6.12793	0.121765	0.000457764	
6.12793	0.12146	0.000305176	
6.12793	0.12085	0.000152588	
6.12793	0.120544	0.000610352	
6.12793	0.117493	0.000762939	
6.12793	0.115967	0.00106812	
6.12823	0.115662	0.000610352	
6.12732	0.115662	-0.000305176	
6.12488	0.11322	0.000457764	
6.12274	0.110779	0.00106812	
6.12274	0.111084	0.000610352	
6.12305	0.107422	0.000305176	
6.12335	0.105896	0.000305176	
6.12335	0.105896	0.000457764	
6.12305	0.105896	0.000305176	
6.12274	0.102539	0.000762939	
6.12335	0.101318	0.000610352	
6.12335	0.101013	0.000762939	
6.12274	0.100708	0.000457764	
6.12244	0.0973511	0.0012207	
6.12335	0.0964355	0.000762939	
6.12305	0.0970459	0.000610352	
6.12274	0.0964355	0.000915527	
6.12305	0.0930786	0.000610352	
6.12305	0.0909424	0	
6.12274	0.0909424	-0.000457764	
6.12335	0.0915527	0.000152588	
6.12366	0.0906372	-0.000305176	
6.12305	0.0881958	0.000152588	
6.12305	0.0863647	0.000762939	
6.12274	0.0863647	0.000762939	
6.12274	0.0860596	0.000610352	
6.12305	0.0830078	0.000457764	
6.12305	0.0820923	0.000457764	
6.12305	0.0808716	0.000152588	
6.12335	0.0817871	0.000305176	
6.12335	0.0805664	-0.000152588	
6.12274	0.0790405	-0.00106812	
6.12274	0.0784302	0	
6.12305	0.0778198	0.000762939	
6.12305	0.0769043	0.000457764	
6.12305	0.0741577	0.000305176	
6.1203	0.0726318	0.000152588	
6.11816	0.0726318	0.000457764	
6.11725	0.0723267	0.00106812	
6.11755	0.0723267	0.0012207	
6.11755	0.0689697	0.000457764	
6.11877	0.0674438	0.000305176	
6.11847	0.0665283	0.000457764	
6.11816	0.0674438	0.000915527	
6.11847	0.0674438	0.000305176	
6.11755	0.0640869	0.000762939	
6.11816	0.062561	0.000152588	
6.11816	0.0628662	0.000610352	
6.11816	0.0628662	0.000305176	
6.11755	0.0619507	0.000305176	
6.11847	0.0595093	0.000915527	
6.11786	0.057373	0.000762939	
6.11786	0.0579834	0.00106812	
6.11816	0.0576782	0.000915527	
6.11816	0.0579834	0.000610352	
6.11755	0.0540161	0.000457764	
6.11786	0.0527954	0.000915527	
6.11725	0.0527954	0.000152588	
6.11847	0.0527954	-0.000457764	
6.11816	0.0524902	-0.000610352	
6.11847	0.0524902	0.000152588	
6.11755	0.0494385	0	
6.11725	0.0476074	0.000457764	
6.11816	0.0479126	0.000457764	
6.11877	0.0482178	0.000457764	
6.11847	0.0476074	0.000610352	
6.11725	0.0445557	0.000305176	
6.11755	0.0436401	0.000457764	
6.11847	0.0424194	0.000305176	
6.11847	0.0436401	0.000610352	
6.11847	0.0427246	-0.000152588	
6.11816	0.0427246	-0.000762939	
6.11786	0.0393677	0	
6.11816	0.0378418	0.000457764	
6.11847	0.0378418	0.000305176	
6.11816	0.038147	0	
6.11816	0.0369263	0	
6.11816	0.038147	0.000762939	
6.11786	0.03479	0.00106812	
6.11786	0.0338745	0.0012207	
6.11847	0.032959	0.000457764	
6.11786	0.0332642	0	
6.11755	0.032959	0.000610352	
6.11816	0.0296021	0.00152588	
6.11786	0.0283813	0	
6.11816	0.0280762	0.000152588	
6.11786	0.027771	0.000305176	
6.11481	0.0280762	0.000152588	
6.11298	0.0280762	0.000152588	
6.11359	0.0247192	0.000305176	
6.11298	0.0234985	0.000762939	
6.11298	0.0231934	0.000457764	
6.11267	0.0231934	0.000915527	
6.11237	0.0231934	0.000915527	
6.11328	0.0228882	0.000762939	
6.11267	0.0201416	0.000915527	
6.11298	0.0189209	0.000762939	
6.11328	0.0189209	0.000762939	
6.11328	0.0189209	-0.000152588	
6.11328	0.0180054	-0.000457764	
6.11298	0.0183105	0.000152588	
6.11328	0.0177002	-0.000457764	
6.11328	0.0149536	0.000305176	
6.11328	0.0140381	0.000610352	
6.11237	0.0128174	0.000610352	
6.11267	0.0134277	0.000457764	
