model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
244433	244433	244433	
4.00208	-0.157776	0.000305176	
4.00299	-0.158386	0.000305176	
4.00238	-0.158386	0.000305176	
4.00208	-0.158081	0.000152588	
4.00208	-0.158386	0.000610352	
4.00269	-0.158081	0.000152588	
4.00269	-0.158691	0.000915527	
4.00177	-0.160828	0.000457764	
4.00238	-0.163269	0.000457764	
4.00208	-0.162964	0.000305176	
4.00269	-0.163269	0.000305176	
4.00177	-0.162964	0.000305176	
4.00177	-0.162354	0.000305176	
4.00208	-0.162964	0.000762939	
4.00208	-0.163269	0.000152588	
4.00177	-0.163879	0.000457764	
4.00208	-0.162964	0.000762939	
4.00269	-0.163269	0.000457764	
4.00177	-0.16571	0.00106812	
4.00116	-0.167542	0.000457764	
4.00146	-0.168152	0.000610352	
4.00177	-0.168152	0.000457764	
4.00269	-0.167847	0.000305176	
4.00208	-0.167236	0.000305176	
4.00238	-0.168762	0.000457764	
4.00208	-0.167542	0.000152588	
4.00146	-0.168152	0.000610352	
4.00208	-0.167542	0.000305176	
4.00269	-0.168457	0.000152588	
4.00238	-0.168152	0.000762939	
4.00238	-0.170898	0.000305176	
4.00208	-0.172729	0.000762939	
4.00269	-0.17334	0.000610352	
4.00177	-0.17334	0.000152588	
4.00208	-0.17334	0.000457764	
4.00177	-0.173035	0.000305176	
4.00299	-0.172729	0.000610352	
4.00269	-0.172729	0.000305176	
4.00208	-0.172729	0	
4.00238	-0.173645	0.000152588	
4.00238	-0.173035	0	
4.00208	-0.17334	0.000305176	
4.00208	-0.173035	0.000305176	
4.00299	-0.175171	0.000305176	
4.00543	-0.177612	0.000610352	
4.00696	-0.177612	0.000305176	
4.00757	-0.177917	0.000762939	
4.00757	-0.177612	0.000305176	
4.00726	-0.178223	0.000457764	
4.00696	-0.177612	0.000305176	
4.00726	-0.178528	0.000152588	
4.00757	-0.177917	0.000152588	
4.00726	-0.177917	0.000610352	
4.00665	-0.178528	0.000152588	
4.00757	-0.177917	0.000457764	
4.00696	-0.177307	0.000152588	
4.00696	-0.178223	0.000152588	
4.00696	-0.180359	0.000457764	
4.00726	-0.1828	0.000762939	
4.00696	-0.1828	0.000610352	
4.00665	-0.1828	0.000305176	
4.00696	-0.1828	0.000610352	
4.00726	-0.1828	0.000457764	
4.00726	-0.183105	0.000610352	
4.00696	-0.183105	0.000457764	
4.00696	-0.1828	0.000305176	
4.00726	-0.183105	0.000762939	
