model_ppg1.acq
0.5 msec/sample
3 channels
RSP, X, RSPEC-R
Volts
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
CH1	CH2	CH13	
245215	245215	245215	
1.08734	0.00305176	0.000305176	
1.08673	0.00335693	0	
1.08704	0.00610352	0.0012207	
1.08734	0.00793457	-0.000152588	
1.08673	0.0112915	0.000152588	
1.08734	0.0128174	0.000305176	
1.08734	0.0134277	0.000610352	
1.08765	0.0161743	0.000152588	
1.08673	0.0183105	0.000152588	
1.08765	0.0213623	0.000457764	
1.08673	0.022583	0.000457764	
1.08673	0.0256348	-0.000152588	
1.08643	0.027771	0.0012207	
1.08704	0.0311279	0.000457764	
1.08734	0.0323486	0.000610352	
1.08734	0.0326538	0.000457764	
1.08734	0.0357056	0.000152588	
1.08734	0.0375366	0.000305176	
1.08734	0.0408936	0.000305176	
1.08765	0.0424194	0.000457764	
1.08673	0.0460815	0.000152588	
1.08734	0.0476074	-0.000305176	
1.08643	0.0506592	0.00106812	
1.08704	0.0524902	0.000610352	
1.08704	0.0558472	0.000610352	
1.08673	0.057373	0.000305176	
1.08673	0.0601196	0.000457764	
1.08704	0.062561	0	
1.08795	0.0653076	0.000457764	
1.08765	0.0662231	0.000305176	
1.08704	0.0701904	0.000305176	
1.08673	0.0717163	-0.000152588	
1.08673	0.0747681	0.000915527	
1.08704	0.0772095	0.000305176	
1.08643	0.0799561	-0.000152588	
1.08704	0.0811768	0.000305176	
1.08734	0.0839233	0.000610352	
1.08673	0.0860596	0.000762939	
1.08704	0.0888062	0.000457764	
1.08734	0.093689	0.000457764	
1.08704	0.0958252	0.000457764	
1.08734	0.0991821	-0.000152588	
1.08673	0.101318	0.0012207	
1.08734	0.104065	0.000305176	
1.08795	0.105286	0.000152588	
1.08734	0.109253	0.000305176	
1.08704	0.110474	0.000457764	
1.08734	0.113831	0.000762939	
1.08795	0.118408	0.000305176	
1.08673	0.12085	0.000305176	
1.08704	0.124207	0.000457764	
1.08704	0.124817	-0.000152588	
1.08673	0.128784	0.0012207	
1.08643	0.130615	0.000305176	
1.08673	0.133057	0.000305176	
1.08643	0.134583	0.000762939	
1.08337	0.13855	0.000305176	
1.08276	0.142517	0.000152588	
1.08246	0.144653	0.000457764	
1.08246	0.1474	-0.000152588	
1.08215	0.150146	0.000152588	
1.08154	0.153503	-0.000457764	
1.08185	0.157471	0.000915527	
1.08246	0.158997	0.000610352	
1.08215	0.162354	0.000305176	
1.08246	0.164795	0.000762939	
1.08185	0.168152	0.000305176	
1.08246	0.169678	0.000610352	
1.08307	0.172119	0.000457764	
1.08215	0.177612	0.000305176	
1.08215	0.178833	0	
1.08246	0.182495	-0.000457764	
1.08154	0.184326	0.000915527	
1.08276	0.187073	0.000305176	
1.08215	0.188904	-0.000152588	
1.08215	0.192261	0.000305176	
1.08246	0.197449	0.000305176	
1.08215	0.198364	0.000610352	
1.08185	0.201416	0.000457764	
1.08215	0.204468	0	
1.08215	0.20752	0.000457764	
1.08246	0.20813	-0.000152588	
1.08215	0.211792	0.00106812	
1.08276	0.215759	0	
1.08246	0.218201	-0.000305176	
1.08215	0.221558	0.000610352	
1.08154	0.223694	0.000305176	
1.08246	0.22644	0.000762939	
1.08246	0.227966	0.000457764	
1.08276	0.231628	0.000762939	
1.08215	0.233154	0.000457764	
1.08246	0.236206	-0.000152588	
1.08276	0.241394	0.000915527	
1.08246	0.242615	0.000457764	
1.08246	0.245972	0.000305176	
1.08246	0.248108	0.000457764	
1.08215	0.250854	0.000457764	
1.08215	0.25238	0.000152588	
1.08276	0.256042	0	
1.08215	0.257874	0.000305176	
1.08246	0.26062	0.000457764	
1.08246	0.262146	-0.000457764	
1.08215	0.265808	0.000915527	
1.08337	0.267029	0.000762939	
1.08215	0.271606	0.000305176	
1.08215	0.271912	0.000305176	
1.08246	0.275879	0.000457764	
1.08215	0.2771	0.000457764	
1.08246	0.280457	0.000152588	
1.08276	0.282898	0.000305176	
1.08154	0.284729	0.000152588	
1.0791	0.288086	-0.000305176	
1.07758	0.289917	0.000915527	
1.07758	0.292358	0.000457764	
1.07788	0.295715	0	
1.07788	0.296936	0.000305176	
1.07758	0.300293	0.000610352	
1.07697	0.301819	0.000610352	
1.07758	0.305176	0	
1.07697	0.306702	0.000610352	
1.07758	0.310364	0.000457764	
1.07788	0.31189	-0.000305176	
1.07788	0.314941	0.00137329	
1.07758	0.315857	0.000457764	
1.07788	0.316772	0.000152588	
1.07819	0.319214	0.000457764	
1.07697	0.322266	0.000152588	
1.07758	0.324097	0.000305176	
1.07727	0.325928	0.000457764	
1.07727	0.329895	0.000457764	
1.07727	0.331116	0.000610352	
1.07758	0.330811	-0.000152588	
1.07788	0.334473	0.000915527	
1.07758	0.336304	0.000305176	
1.07758	0.338745	0.000152588	
1.07727	0.340271	0.000305176	
1.07758	0.340881	0.000152588	
1.07727	0.344238	0.000152588	
1.07758	0.345764	0	
1.07758	0.345764	0.000610352	
1.07788	0.349426	0.000457764	
1.07758	0.350952	-0.000305176	
1.07727	0.350952	0.000915527	
1.07819	0.354004	0.000610352	
1.07727	0.355225	0.000610352	
1.07788	0.359192	0.000152588	
1.07758	0.360718	0.000152588	
1.07605	0.361023	0.000457764	
1.07361	0.361023	0.000305176	
1.073	0.364075	0.000152588	
1.07208	0.365601	0.000457764	
1.07269	0.365601	-0.000457764	
1.07239	0.368652	0.000915527	
1.07208	0.370178	0.000152588	
1.07269	0.371094	0.000457764	
1.07269	0.37323	0.000457764	
1.07239	0.375366	0.000762939	
1.07269	0.375977	0.000457764	
1.07269	0.375671	0.000305176	
1.07239	0.378723	0.000305176	
1.07208	0.381165	0.000457764	
1.073	0.380859	-0.000305176	
1.07208	0.380859	0.00137329	
1.07208	0.383911	0.000305176	
1.07269	0.384827	0.000305176	
1.07269	0.385132	0.000305176	
1.07178	0.385742	0.000457764	
1.07208	0.388489	0.000152588	
1.073	0.389709	0.000152588	
1.07239	0.39093	0.000610352	
1.07208	0.390625	0.000457764	
1.07208	0.393066	0	
1.07269	0.393982	0.00137329	
1.07208	0.395203	0.000610352	
1.07178	0.395203	0.000457764	
1.07208	0.395508	0.000457764	
1.07239	0.394592	0.000305176	
1.07239	0.397949	0.000152588	
1.07269	0.39978	0.000305176	
1.07147	0.400391	0.000305176	
1.06781	0.399475	0.000457764	
1.06781	0.400696	-0.000305176	
1.0672	0.399475	0.000915527	
1.0672	0.402832	0.000610352	
