受试者,参考心率 (BPM),Baseline估计 (BPM),新估计 (BPM),Baseline误差 (BPM),新误差 (BPM),改善 (BPM),状态,Baseline状态,最佳IC,BaselineIC,置信度
xxr2,68.82,77.11,63.22,8.29,5.60,2.69,~,~,2,3,0.228
zxc1,67.74,75.61,70.26,7.88,2.52,5.36,OK,~,3,7,0.105
WWW1,88.21,81.70,86.31,6.52,1.91,4.61,OK,~,0,3,0.222
wyd1,86.64,73.45,83.03,13.19,3.61,9.58,OK,X,8,5,0.263
zxc2,69.49,82.44,70.26,12.96,0.77,12.19,OK,X,8,4,0.201
WWW4,79.90,90.41,83.03,10.51,3.13,7.38,OK,X,9,9,0.190
WWW12,75.17,86.84,71.57,11.67,3.61,8.06,OK,X,2,3,0.197
lbx1,70.06,67.38,67.38,2.68,2.68,0.00,OK,OK,2,2,0.735
WWW5,82.67,82.35,82.35,0.32,0.32,0.00,OK,OK,5,5,0.750
