受试者,任务,算法,BPM,参考BPM,绝对误差,相对误差(%),耗时(ms)
xxr1,呼吸,均值法,21.711,18.750,2.961,15.79,1
xxr1,呼吸,ACMD,8.235,18.750,10.515,56.08,2
xxr1,呼吸,VMD,21.711,18.750,2.961,15.79,4
xxr1,呼吸,EMD,21.711,18.750,2.961,15.79,4
xxr1,呼吸,AFD,8.235,18.750,10.515,56.08,3
xxr1,呼吸,Multi-ROI ICA,21.711,18.750,2.961,15.79,1
