受试者,任务,算法,BPM,参考BPM,绝对误差,相对误差(%),耗时(ms)
zxc2,呼吸,均值法,10.493,21.429,10.936,51.03,1
zxc2,呼吸,ACMD,10.493,21.429,10.936,51.03,2
zxc2,呼吸,VMD,10.493,21.429,10.936,51.03,4
zxc2,呼吸,EMD,10.493,21.429,10.936,51.03,4
zxc2,呼吸,AFD,10.493,21.429,10.936,51.03,3
zxc2,呼吸,Multi-ROI ICA,10.493,21.429,10.936,51.03,1
