受试者,任务,算法,BPM,参考BPM,绝对误差,相对误差(%),耗时(ms)
lbx2,呼吸,均值法,14.973,15.789,0.816,5.17,1
lbx2,呼吸,ACMD,14.973,15.789,0.816,5.17,1
lbx2,呼吸,VMD,14.973,15.789,0.816,5.17,4
lbx2,呼吸,EMD,14.973,15.789,0.816,5.17,5
lbx2,呼吸,AFD,14.973,15.789,0.816,5.17,2
lbx2,呼吸,Multi-ROI ICA,14.973,15.789,0.816,5.17,1
