算法,策略,最优BPM,参考BPM,绝对误差,相对误差(%),耗时(ms)
均值法,fused+acr,74.67,75.32,0.65,0.9,2
ACMD,fused+fpr,86.10,75.32,10.78,14.3,2
VMD,best1d+fpr,101.29,75.32,25.97,34.5,318
EMD,fused+fft,86.15,75.32,10.84,14.4,42
VME,fused+fpr,87.52,75.32,12.20,16.2,11

===历史各版本最优===
版本,算法,BPM,参考,误差
v1-VMD,,71.2,75.32,4.12
v2-EMD,,80.2,75.32,4.88
v3-均值法,,64.4,75.32,10.92
v4-均值法,,65.4,75.32,9.92
